Part,Purpose,Quanity,Total Cost,LCSC,
HX PZ2.54-1x3P ZZ,3-Pin Header,6,$0.14,C32713269,Note: Some components quanities are less than the minimum order quanitiy
KF301-5.0-2P,2-Pin Terminal Screw Block,1,$0.09,C474881,
TYPE-C 16PIN 2MD(073),USB-C Port,1,$0.06,C2765186,
YLED1206R,Red Led,3,$0.03,C28310439,
NXA100V220M12.5*25 LO,220uF Capacitor,2,$0.83,C2835679,
CDRH127N-470M,47uH Inductor,1,$0.27,C962356,
SS54,Diode,3,$0.13,C22452,
49SAC16000182060,Crystal,1,$0.07,C443538,
HX PZ2.54-1x2P ZZ,2-Pin Header,1,$0.02,C32713268,
HX PZ2.54-1x5P ZZ,5-Pin Header,2,$0.08,C32713271,
1-2199298-2,DIP-8 Socket,3,$0.65,C305904,
ATMEGA328PB-AU,atmega328PB,1,$1.65,C132230,
LM2596SX-ADJ/NOPB,LM2596S,1,$1.08,C29781,
3296W-1-103LF,Potentiometer,1,$0.79,C34846,
AMS1117-5.0,5V LDO,1,$0.24,C6187,
KM228M025J20RR0VH2FP0,2200uF Capacitor,1,$0.14,C44598,
TAJA106K016RNJ,10uF Tantalum Capacitor,1,$0.13,C7171,
TAJA226K010RNJ,22uF Tantalum Capacitor,1,$0.24,C11366,
CH340C,CH340C,1,$0.58,C84681,
6N137,6N137,3,$0.64,C142297,
HX PZ2.54-1x9P ZZ,9-Pin Header,1,$0.06,C42372501,
TS342A2P-WZ,Tactile Switch,1,$0.04,C557591,
,,,,,
GRM2195C1H103JA01D,10nF Ceramic Capacitor,20,$0.85,C97905,Note: SMD resistors and Capacitors prices by minium order quanitity
FRC0805J102 TS,1k ohm Resistor,100,$0.13,C2907295,
CL21B104KBCNNNC,100nF Cermaic Capacitor,100,$0.65,C1711,
C0805C220J5RAC7800,22pF Cermaic Capacitor,20,$0.54,C2176714,
0805W8F5101T5E,5.1k ohm Resistor,100,$0.19,C27834,
FRC0805J103TS,10k ohm Resistor,100,$0.13,C2930231,
FRC0805J331 TS,330 ohm Resistor,100,$0.14,C2907321,
,,,,,
,,Total:,$10.55,USD,